track_name,artist_name,year,tempo,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,gender,ethnicity
The Ketchup Song (AserejÃ©) - Spanglish Version,Las Ketchup,2002,184,C#,Major,60,86,92,1,0,9,9,Group,White (Spanish)
Dirrty (feat. Redman),Christina Aguilera,2002,99,D,Major,64,43,88,10,0,33,32,Female,Multiracial (American)
Oh Boy,Camâ€™ron,2002,83,F#,Major,75,82,76,2,0,14,17,Male,Black (American)
Just Like a Pill,P!nk,2002,102,A,Major,68,25,77,0,0,9,2,Female,White (American)
Hero (feat. Josey Scott),Chad Kroeger,2002,147,E,Major,42,30,84,0,0,17,3,Male,White (Canadian)
Somethin' Stupid,Robbie Williams,2002,106,C,Major,65,67,51,42,0,17,2,Male,White (British)
Blurry,Puddle Of Mudd,2002,157,D#,Minor,43,49,93,0,0,14,5,Group,White (American)
Still Fly,Big Tymers,2002,177,B,Major,67,56,60,3,0,33,16,Group,Black (American)
Always On Time,Ja Rule,2002,96,F,Minor,83,85,69,20,0,13,20,Male,Black (American)
Heaven,DJ Sammy,2002,137,G#,Major,57,60,95,0,0,22,5,Group,White (Spanish)
I Need a Girl (Pt. 1) [feat. Usher & Loon],Diddy,2002,89,F#,Major,66,76,70,39,0,21,20,Male,Black (American)
The Tide Is High - Radio Mix,Atomic Kitten,2002,103,G,Major,78,66,64,2,0,6,3,Group,White (British)
Soak Up The Sun,Sheryl Crow,2002,119,E,Major,71,71,73,3,0,13,4,Female,White (American)
Stop Crying Your Heart Out,Oasis,2002,150,D,Major,33,9,55,6,0,12,3,Group,White (British)
U Don't Have to Call,USHER,2002,100,C#,Major,79,80,56,4,0,3,4,Male,Black (American)
Hey Ma,Camâ€™ron,2002,90,G#,Major,77,94,67,2,0,36,36,Male,Black (American)
Hella Good,No Doubt,2002,115,G#,Major,77,83,66,1,1,9,3,Group,Multiracial (American)
The Logical Song,Scooter,2002,143,F#,Minor,52,46,93,0,6,41,3,Group,White (German)
Just a Friend 2002 - Radio Edit,Mario,2002,132,C,Major,53,91,67,0,0,23,18,Male,Black (American)
Gangsta Lovin',Eve,2002,94,C#,Minor,72,82,84,6,0,9,6,Female,Black (American)
Happy,Ashanti,2002,89,D,Minor,72,69,51,24,0,12,2,Female,Black (American)
Don't Let Me Get Me - Radio Edit,P!nk,2002,98,C,Minor,62,61,85,0,0,6,7,Female,White (American)
Like I Love You,Justin Timberlake,2002,114,F#,Minor,85,90,81,4,0,7,6,Male,White (American)
Overprotected - Radio Edit,Britney Spears,2002,95,C,Minor,68,84,89,3,0,41,7,Female,White (American)
No Such Thing,John Mayer,2002,131,E,Major,66,57,73,3,0,13,3,Male,White (American)
Nessaja,Scooter,2002,143,D,Major,51,13,90,0,2,24,3,Group,White (German)
"My Neck, My Back (Lick It)",Khia,2002,102,A,Minor,85,71,62,2,0,5,13,Female,Black (American)
Gimme the Light,Sean Paul,2002,107,D,Major,77,92,76,14,0,4,5,Male,Black (Jamaican)
Hero,Enrique Iglesias,2002,151,G,Major,58,14,65,14,0,10,3,Male,White (Spanish)
World of Our Own,Westlife,2002,97,C#,Major,70,92,76,1,0,6,3,Group,White (Irish)
More Than A Woman,Aaliyah,2002,86,C#,Minor,65,75,64,7,0,11,8,Female,Black (American)
A New Day Has Come - Radio Remix,CÃ©line Dion,2002,91,F#,Major,57,19,69,8,0,14,3,Female,White (Canadian)
Rollout (My Business),Ludacris,2002,131,G,Major,92,89,66,9,0,59,23,Male,Black (American)
All You Wanted,Michelle Branch,2002,96,G#,Major,49,65,72,0,0,12,2,Female,Multiracial (American)
Oops (Oh My) [feat. Missy Elliott],Tweet,2002,159,A#,Minor,66,77,53,23,0,11,28,Female,Black (American)
